id,root,jp,color,art,note,pie,concept
kaput,*kaput-,頭,#e8875a,chara/T_ch_kaput_head.png,頭とは、体のいちばん上にあって、そこから先へ進んでいく場所である。だからこの語根は「先頭」も「いちばん大事なもの」も一手に引き受けた。英語に入った68語のうち52語がロマンス語派で、captain、chief、chef、capital と、ラテン語 caput が形を変えながら並び、ゲルマン語派の18語は head そのものの系統をなす。意外なのは cabbage「キャベツ」で、葉が巻いてできた「小さな頭」の意。precipitation「降水」にいたっては原義が「頭から真っ逆さま」で、雨が降る意味はあとから加わったものである。,kaput-,root-concept/root-kaput.png
ane,*ane-,息をする,#43b5a0,chara/T_ch_ane_breath.png,吸って吐く、その息づかい。この語根は息そのものを指し、やがて息をしているという事実が、命や心の意味まで引き受けた。英語に来た31語のうち18語はラテン語 anima(息、魂)経由で、animal(動物)は文字どおり「息をするもの」、unanimous(満場一致の)の「心がひとつ」の心も、たどれば息を表す語だ。ギリシャ語からは風を表す anemo- の形で入り、anemone(アネモネ)が咲いている。おもしろいのは anime(アニメ)で、英語の animation が日本で縮まり、1980年代に英語へ戻ってきた。,anə-,root-concept/root-ane.png
bha,*bha-,話す,#f2a444,chara/T_ch_bha_speak.png,芯にあるのは、ただ音を出すことではなく、声に出して公に告げるという感覚だ。英語への道は二本あり、ラテン語経由が44語、ギリシャ語経由が41語とほぼ拮抗していて、ギリシャ側は -phone や -phony という音・声の顔つきで入ってきた。遠く離れて見えるのが fate(運命)で、その中身は神が口にしたこと、infant(幼児)はまだ話せない者を指す言い方だった。ban(禁止)もこの一族で、もとは声を張って布告することを意味した。語られた言葉が人の運命にも法にもなる、という重みがこの祖先には残っている。,bhā-2,root-concept/root-bha2.png
gwei,*gwei-,生きる,#7cba62,chara/T_ch_gwei_live.png,息をして動いている、生き生きしている、という状態そのものがこの語根の芯にある。英語への道はギリシャ語派が最も太く55語で、bio- や zoo- の形をとる。ラテン語経由のロマンス語派35語は vita(生命)の一族で、vital(命にかかわる)、vitamin(命のアミン=ビタミン)、survive(生きのびる。sur- は「越えて」)と、語形から意味が透けて見える顔ぶれだ。意外なのはゲルマン語派に残った quick(速い)で、古英語では「生きている」を意味し、生き生きしていることがそのまま速さの意味に変わっていった。whiskey もこの一族で、ゲール語の「命の水」という言い回しを縮めた形だという。,gwei-,root-concept/root-gwei.png
oino,*oi-no-,ひとつ,#7f8ff0,chara/T_ch_oi-no_one.png,数の1というより、それきりで他にない、というひとりぼっちの感じが芯にある。英語ではゲルマン語派の26語がその感覚をそのまま担い、a も an も no も、もとをたどれば one が縮んだ姿である。一方ロマンス語派の38語はほとんどが uni- の顔で入り、17語がこの接頭辞を持つ。意外な身内は onion(タマネギ)で、幾重にも層が重なってなお一つの玉であることからこの名がついた。eleven(11)の中身は「10を取ってなお1つ残る」で、数え終えた指の先に余った1が、そのまま数の名になっている。,oi-no-,root-concept/root-oino.png
reg,*reg-,まっすぐ導く,#5aa7e8,chara/T_ch_reg_straight.png,まっすぐであること、そしてまっすぐに導くこと。曲がりのない一本の線という感覚が、そのまま「正しい」にも「支配する」にも伸びたのがこの語根で、英語にはラテン語経由で110語、古英語のまま33語が入っている。rule(規則)はラテン語のregula、つまり「まっすぐな棒」のことで、線を引く定規と守るべき決まりが同じ一語に収まっている。意外なのはdress(ドレス)で、原義は「まっすぐにする」、つまり整えることであり、服を着せる意味が出てきたのは14世紀末になってからだった。rich(金持ちの)も同じ一族で、古英語では「強い、身分が高い」を指し、ケルト語の「王」を借りた語であって、豊かさとはもともと王のようであることだった。,reg-,root-concept/root-reg.png
weid,*weid-,見る・知る,#a06ee0,chara/T_ch_weid_see.png,見ること、そして見たから知っていること。この語根では、目で捉えることと頭で分かっていることが地続きで、見た者がそのまま知る者だった。ラテン語 videre(見る)を通った vision(視覚)や view(眺め)はその直系。古英語のまま残ったのが wise(賢い)と wit(機知)で、見た者は知る者、知る者は賢い者だった。history(歴史)はギリシャ語で「見て知っている人の報告」のことで、物語の story はその頭が落ちただけの同じ語である。idol(偶像)ももとは「目に映っただけのもの」、つまり幻や亡霊を指した。アイドルと呼ばれる人も、語のうえでは「見えた姿」にすぎない。,weid-,root-concept/root-weid.png
ye,*ye-,投げる,#f26d99,chara/T_ch_ye_throw.png,手を離れたものが飛んでいく。この動作が芯にあり、どこへ投げるかによって意味が枝分かれした。61語のうち53語はロマンス語派で、ject という形をかかえ、前へ投げる、外へ投げる、投げ返すという具合に、接頭辞ごとに別の語になった。意外な身内は ease(容易さ)と、それを dis- で打ち消した disease(病気)で、こちらは「そばに横たわる」という楽な姿勢から来ている。subject が主題と臣民の両方を指すのは、原義が「下に投げられた者」だからである。,yē-,root-concept/root-ye.png
mori,*mori-,水域,#46b8d8,chara/T_ch_mori_water.png,海だけを指す語根ではなく、水をたたえた広がりなら湖でも沼でもよかった。英語に来た32語のうち21語はラテン語 mare からで marine(海の)や submarine(潜水艦)の顔、9語はゲルマン語派を通って marsh(湿地)や mermaid(人魚)になった。mermaid は文字どおり「海の乙女」で、前半の mere は今は使われない「海」の古語だ。月の表面の黒い部分を mare と呼ぶのは、あれを本当に海だと思っていたころの名残である。いちばん意外なのは rosemary(ローズマリー)で、中身はラテン語の「海のしずく」であり、バラともマリアとも関係なく、あとから綴りがそちらへ寄っただけだ。,mori-,root-concept/root-mori.png
men,*men-,考える,#9b8bd8,chara/T_ch_men_think.png,心を働かせること、思い浮かべ、記憶にとどめておくことがこの祖先の芯にある。英語への道はギリシャ語経由が37語、ラテン語経由も37語と真っ二つで、ギリシャ側は -mania(狂)や -mancy(占い)という激しい顔つきで入ってきた。意外な同族が monster(怪物)で、もとは神が凶事を告げる前触れ、つまり人に思い起こさせる警告のことだった。music(音楽)も女神ムーサの技という意味で、同じ一族に属している。考えることと、狂うことと、神の声を聞くことが一つの祖先の下に同居しているのが面白い。,men-1,root-concept/root-men1.png
