id,name,en,cat,icon,hunger,hp,passive,luck_bonus,speed_bonus,placeable,playable,unlocks_area,tags,rarity,def,desc,alt
cabbage,キャベツ,Cabbage,food,word/cabbage.png,15,,,,,,,,たべもの|なげる,2,キャベツ,昔のフランスの人もキャベツを見て「頭じゃん」と思った。その第一印象がそのまま英単語として現存。,
cap,キャップ,Cap,support,word/cap.png,,,,2,,,,,かぶる,3,帽子、ふた,「頭」そのものではなく「頭にのせるもの」へ横すべり。ボトルの cap(ふた)も“びんの頭”。,
capital,キャピタル,Capital,support,word/capital.png,,,,,,1,,,ひきいる,7,首都、資本,首都・資本・大文字。バラバラに見える意味が「いちばん頭にくるもの」で片づく気持ちよさ。,
kappa,カッパ,Kappa,support,word/kappa.png,,,雨を覆う,2,,1,,,かぶる|みず,10,合羽、雨合羽,ポルトガル語 capa「覆い」が南蛮貿易で日本へ。雨から体を覆うカード。,
captain,キャプテン,Captain,support,word/captain.png,,,指揮する頭,3,,,,,ひきいる,4,船長、キャプテン、主将,集団の「頭」に立つ人。船長も主将も、その場の head。,
chef,シェフ,Chef,support,word/chef.png,,,厨房の頭,3,,,,,たべもの|ひきいる,4,料理長、シェフ,caput が古フランス語で chief(長)になり、さらに縮んで chef。キッチンの頭領。,
chief,チーフ,Chief,support,word/chief.png,,,中心でまとめる,3,,,,,ひきいる|かぶる,4,長・主要な,古フランス語 chief(頭)。チームや集団の中心に立つ「頭」。,
fable,フェイブル,Fable,fun,word/fable.png,,10,,,,,,,はなし,3,寓話,イソップ物語の「物語」。文字より先に、ことばは“話されるもの”だった。,
vivid,ビビッド,Vivid,food,word/vivid.png,20,,,,,,,,たべもの|ひかり,2,鮮やかな,vivid な夢=「生きてる」みたいにリアルな夢。色が“生きてる”から鮮やか。,
unique,ユニーク,Unique,support,word/unique.png,,,,4,,,,,ひとつ|ふしぎ,6,唯一の,「ユニークな人」は本来「唯一の人」。世界にひとつだけの結晶。,
idea,アイデア,Idea,support,word/idea.png,,,,3,,,,,しる,5,考え、アイデア,ギリシャ語で「見えたもの」。ひらめきが“見える”のは人類共通の体験らしい。,
jet,ジェット,Jet,support,word/jet.png,,,,,0.3,,,,とぶ|はやい,7,噴出、ジェット機,フランス語 jeter(投げる)から。ジェット機は“空に投げられた乗り物”。,
merlin,マーリン,Merlin,story,word/merlin.png,,,,,,,,avalon,ふしぎ|でんせつ|みず,9,魔法使いマーリン,ケルトの地名「海の丘」がマーリンの名のもと。アーサー王を導いた伝説の魔法使い。,
excalibur,エクスカリバー,Excalibur,support,word/excalibur.png,,,,,,,,,きる|ちから|でんせつ,10,聖剣エクスカリバー,アーサー王の聖剣。名はウェールズ語 Caledfwlch「硬い切っ先」に由来するとも。王が最期に眠る地がリンゴの島アヴァロン。,
grail,聖杯,Grail,support,word/grail.png,,,,,,,,,いやし|でんせつ,10,聖杯,アーサー王伝説に登場する聖なる杯。遠征クリア時に選べる伝説の報酬。,
apple,リンゴ,Apple,food,word/apple.png,20,,,,,,,,たべもの|なげる,1,リンゴ,古英語 aeppel は「リンゴ」だけでなく果実一般も指した。箱庭で使う基本アイテム。,
smartphone,スマートフォン,Smartphone,fun,word/smartphone.png,,16,,,,,1,,はなし|ひかり|しる,6,スマートフォン,phone は「声」。スマホを一皮むくと、5000年前の“声”の祖先が入っている。,
animation,アニメーション,Animation,fun,word/animation.png,,22,,,,,,,いき|いのち|いやし,5,アニメーション,アニメとは「絵が呼吸を始めること」。語源が職業説明として完璧すぎる一語。,
animal,アニマル,Animal,fun,word/animal.png,,8,,,,,,,いのち,2,動物,「息をしている=生きている」。古代人による動物の定義、シンプルで強い。,
rule,ルール,Rule,support,word/rule.png,,,移動力+15%,,0.15,,,,ただす,2,規則、支配する,定規(ruler)とルールが同じ単語。線を引く者が世界を支配する。,
wizard,ウィザード,Wizard,support,word/wizard.png,,,探索運+5,5,,,,,しる|ふしぎ,5,魔法使い,wise+-ard(〜な人)。知恵が振り切れると魔法になる。,
submarine,サブマリン,Submarine,support,word/submarine.png,,,海の移動+20%,,0.2,,,,みず,6,潜水艦,sub(下)+marine(海)。海の下をゆく船。海へ遠征する時に移動力アップ。,
aquamarine,アクアマリン,Aquamarine,support,word/aquamarine.png,,,チャージ力アップ,,,,,,ひかり|みず,7,藍玉(海色の宝石),aqua(水)+marine(海)。海の水色の宝石。バトル時のチャージ力アップ。,
marine,マリン,Marine,story,word/marine.png,,,,,,,,,みず,6,海の,ラテン語 mare(海)から。「海の」のマリン。submarine も aquamarine も、この海のなかま。,
monster,モンスター,Monster,support,word/monster.png,,,神の警告,,,,,,ふしぎ|ちから,8,怪物,monere(警告する)から。“神の警告”として現れるもの。戦いで真価を発揮する。,
inject,インジェクト,Inject,med,word/inject.png,,20,,,,,,,なげる|いやし,5,注入する,注射は“体の中への投球”。in(中へ)+ject(投げる)。reject も eject も同じ投げ技一族。,
donor,ドナー,Donor,support,word/donor.png,,,探索運+4,4,,,,,おくる,3,提供者、寄付者,donor は『与える人』。血液ドナーも寄付者も、語源では同じ“差し出す人”。,
donation,ドネーション,Donation,support,word/donation.png,,12,支援物資,2,,,,,おくる,4,寄付、寄贈,donation は『与えること』。箱庭では支援物資のカード。,
data,データ,Data,fun,word/data.png,,,探索記録,3,,1,,,しる,2,データ、資料,data は本来『与えられたもの』。世界から受け取った情報。,
date,デート,Date,support,word/date.png,,,遠征時間を読む,,0.08,,,,おくる,2,日付、年月日,date は文書に“与えられた日”。予定を刻むカード。,
antidote,アンチドート,Antidote,med,word/antidote.png,,28,解毒剤,,,,,,いやし,6,解毒剤、対抗策,毒に対して与える薬。anti + dote。,
mandate,マンデート,Mandate,support,word/mandate.png,,,指揮力+,1,0.05,,,,ひきいる|ただす,5,命令、委任,手に与えて任せること。命令や委任のカード。,
