w,root,split_a,split_b,morphs,ipa,pos,jp,gloss,memo,ex_en,ex_ja,region,rarity,pie_p,p
head,kaput,,,,,動,頭、首長,top of body / chief,川の源も、コインの表も、ビールの泡も head。「いちばん上」から。,,,G,128,,kaput-
capital,kaput,capit,al,capit|al2,[kǽpitl],名/形,首都、資本、大文字,「頭」になるもの ― 都市の頭=首都、お金の頭=資本,首都も資本も大文字も、原義は「頭の」。ラテン語 caput から。,Tokyo is the <mark>capital</mark> of Japan.,東京は日本の首都だ,L,324,,kaput-
chief,kaput,,,,,名,長,leader,フランス語では chef になった同じ語。原義はラテン語の「頭」。,,,L,424,,kaput-
captain,kaput,capt,ain,capt|ain,[kǽptin],名,船長、キャプテン、主将,集団の「頭」に立つ人,船長も機長も主将も、みんなラテン語の「頭」から。,The <mark>captain</mark> led the team to victory.,キャプテンはチームを勝利に導いた,L,513,,kaput-
cap,kaput,cap,,cap,[kǽp],名,帽子、ふた,頭にかぶるもの,元はマントの意。さらに古くは女性の頭巾を指した語だった。,He wore a red <mark>cap</mark>.,彼は赤い帽子をかぶっていた,G,543,,kaput-
cabbage,kaput,cabb,age,cabb|age,[kǽbidʒ],名,キャベツ,頭みたいに丸い野菜,葉が巻いてできた「小さな頭」。野菜の名前に頭が残っている。,Rabbits love <mark>cabbage</mark>.,ウサギはキャベツが大好きだ,L,754,,kaput-
chef,kaput,chef,,chef,[ʃéf],名,料理長、シェフ,厨房の「頭」,厨房の「頭」。chief と綴りが分かれただけの同じ語。,The <mark>chef</mark> prepared a special dish.,シェフが特別料理を用意した,L,710,,kaput-
kappa,kaput,kap,pa,cap,[káppa],名,合羽、雨合羽,体を覆う雨具,合羽（かっぱ）は、ポルトガル語で「覆い」を意味する capa が南蛮貿易を経て日本に上陸した語。cap / cape と同じ「覆うもの」の感覚をもつ。,A <mark>kappa</mark> kept the rain off.,合羽が雨を防いでくれた。,L,650,-,
animal,ane,anim,al,anim|al2,[ǽniml],名,動物,息をするもの,原義は「息をするもの」。1600年ごろまでは beast が普通の語だった。,Wild <mark>animals</mark> live in this forest.,この森には野生動物が住んでいる,L,372,,anə-
animation,ane,anim,ation,anim|ation,[æ̀nəméiʃən],名,アニメーション,絵に息を吹き込むこと,もとは「命を吹き込むこと」。動画の意味になったのは1912年。,Japanese <mark>animation</mark> is loved worldwide.,日本のアニメは世界中で愛されている,L,718,,anə-+-ti-
unanimous,ane,uni,anim,uni|anim|ous,[juːnǽniməs],形,満場一致の,心がひとつ,直訳は「心が一つ」。その「心」は元をたどれば「息」を表す語。,The vote was <mark>unanimous</mark>.,投票は満場一致だった,L,792,,oi-no-+anə-
animosity,ane,,,,,名,敵意,hostility,15世紀は「勇気」の意味だった。1600年ごろ「敵意」に変わった。,,,L,835,,anə-
anime,ane,,,,,名,アニメ,Japanese cartoons,英語のanimationが日本で縮まり、1980年代に英語へ逆輸入。,,,G,933,,anə-
animate,ane,anim,ate,anim|ate,[ǽnəmèit],動,命を吹き込む,息を吹き込む,原義は「息を吹き込む」。動く絵を作る意味は1888年から。,Her jokes <mark>animated</mark> the room.,彼女のジョークが場を活気づけた,L,822,,anə-
phone,bha,,,,,名,電話,handset,telephone の略。1878年の新聞にすでに登場している。,,,Gr,301,,bhā-2
